"exper","treat","e.rel.mean","e.cum.mean","e.rel.s","e.cum.s","e.rel.n","e.cum.n"
"Experiment 1","U-CM",14.3,1.43,4.1,0.41,3,3
"Experiment 2","U-CM",20.1,2.01,3.84,0.384,3,3
"Experiment 1","CC-CM",10.4,0.674,2.09,0.136,3,3
"Experiment 2","CC-CM",19.5,1.27,1.33,0.0864,3,3
"Experiment 1","D-CM",17.4,2.27,4.65,0.604,3,3
"Experiment 2","D-CM",22.9,2.98,1.68,0.219,3,3
