"treat","e.rel.mean","e.cum.mean","oav.mean","soav.mean","e.rel.s","e.cum.s","oav.s","soav.s","e.rel.n","e.cum.n","oav.n","soav.n"
"U-CM",17.2,1.72,120,712,4.79,0.478,65.6,330,6,6,6,6
"CC-CM",14.9,0.97,49.7,244,5.23,0.34,23.6,90.1,6,6,6,6
"D-CM",20.2,2.62,96.6,530,4.33,0.563,45.3,158,6,6,6,6
