"treat","e.rel.mean","e.cum.mean","e.rel.s","e.cum.s","e.rel.n","e.cum.n"
"U-CM",17.2,1.72,4.78,0.478,6,6
"CC-CM",14.9,0.97,5.23,0.34,6,6
"D-CM",20.2,2.62,4.33,0.563,6,6
