"exper","treat","e.rel.mean","e.cum.mean","oav.mean","soav.mean","e.rel.s","e.cum.s","oav.s","soav.s","e.rel.n","e.cum.n","oav.n","soav.n"
"Experiment 1","U-CM",14.3,1.43,60.1,423,4.1,0.41,8.36,70.5,3,3,3,3
"Experiment 2","U-CM",20.1,2.01,179,1000,3.84,0.384,5.23,131,3,3,3,3
"Experiment 1","CC-CM",10.4,0.674,29,166,2.09,0.136,3.49,15.5,3,3,3,3
"Experiment 2","CC-CM",19.5,1.27,70.5,322,1.33,0.0864,9.52,40.8,3,3,3,3
"Experiment 1","D-CM",17.4,2.27,57.2,395,4.65,0.604,10.2,43.5,3,3,3,3
"Experiment 2","D-CM",22.9,2.98,136,665,1.68,0.219,19.5,77,3,3,3,3
