experiment,treatment,tunnel,time,4_methylphenol_mgm2
Experiment 1,U-CM,4,0,4.05559844976601
Experiment 1,U-CM,4,1.583333333,7.78591239787332
Experiment 1,U-CM,4,3.166666666,11.0205591140787
Experiment 1,U-CM,4,4.749999999,14.0460887573922
Experiment 1,U-CM,4,6.333333332,16.6945576097526
Experiment 1,U-CM,4,7.916666665,18.7719652744428
Experiment 1,U-CM,4,11.083333331,20.4496085374718
Experiment 1,U-CM,4,12.666666664,21.7469969668806
Experiment 1,U-CM,4,14.249999997,22.7529375396846
Experiment 1,U-CM,4,15.83333333,23.6170863477286
Experiment 1,U-CM,6,0,6.0077000016734
Experiment 1,U-CM,6,1.583333333,10.8809227390931
Experiment 1,U-CM,6,3.166666666,15.2321642213625
Experiment 1,U-CM,6,4.749999999,19.2986037453643
Experiment 1,U-CM,6,6.333333332,22.9412084827226
Experiment 1,U-CM,6,7.916666665,25.8754402838236
Experiment 1,U-CM,6,11.083333331,28.1380701965858
Experiment 1,U-CM,6,12.666666664,29.9394807510378
Experiment 1,U-CM,6,14.249999997,31.3656531456683
Experiment 1,U-CM,6,15.83333333,32.6142527126877
Experiment 1,U-CM,9,0,4.93626349697665
Experiment 1,U-CM,9,1.583333333,9.37469397356931
Experiment 1,U-CM,9,3.166666666,13.3200455127894
Experiment 1,U-CM,9,4.749999999,16.8030628304586
Experiment 1,U-CM,9,6.333333332,19.9186088392173
Experiment 1,U-CM,9,7.916666665,22.501962998789
Experiment 1,U-CM,9,11.083333331,24.4629590056071
Experiment 1,U-CM,9,12.666666664,26.0816619724249
Experiment 1,U-CM,9,14.249999997,27.4138364207863
Experiment 1,U-CM,9,15.83333333,28.6047028316549
Experiment 1,D-CM,1,0,3.8503964902832
Experiment 1,D-CM,1,1.583333333,7.51277254333118
Experiment 1,D-CM,1,3.166666666,10.8976771180319
Experiment 1,D-CM,1,4.749999999,13.8483338183004
Experiment 1,D-CM,1,6.333333332,16.3672435801541
Experiment 1,D-CM,1,7.916666665,18.3650026719164
Experiment 1,D-CM,1,11.083333331,19.9392889644779
Experiment 1,D-CM,1,12.666666664,21.1705368826461
Experiment 1,D-CM,1,14.249999997,22.0818311357104
Experiment 1,D-CM,1,15.83333333,22.7136327201901
Experiment 1,D-CM,5,0,5.6587430295414
Experiment 1,D-CM,5,1.583333333,10.5492294952079
Experiment 1,D-CM,5,3.166666666,14.6838443045847
Experiment 1,D-CM,5,4.749999999,18.2566653294447
Experiment 1,D-CM,5,6.333333332,21.3804162463821
Experiment 1,D-CM,5,7.916666665,23.8581766828511
Experiment 1,D-CM,5,11.083333331,25.7010605620592
Experiment 1,D-CM,5,12.666666664,27.0528367147581
Experiment 1,D-CM,5,14.249999997,28.0580365904307
Experiment 1,D-CM,5,15.83333333,28.844452155067
Experiment 1,D-CM,8,0,4.67578781621205
Experiment 1,D-CM,8,1.583333333,8.80031606658697
Experiment 1,D-CM,8,3.166666666,12.4268520839333
Experiment 1,D-CM,8,4.749999999,15.436056974191
Experiment 1,D-CM,8,6.333333332,18.0474479230769
Experiment 1,D-CM,8,7.916666665,20.17394479481
Experiment 1,D-CM,8,11.083333331,21.7769024788949
Experiment 1,D-CM,8,12.666666664,23.0205695922789
Experiment 1,D-CM,8,14.249999997,23.9762212188616
