Experiment,Treatment,Replicate,SOAV,time (h)
exper,treat,rep,oav,time
Experiment 2,U-CM,1,23.04,14.56
Experiment 2,U-CM,2,24.65,14.56
Experiment 2,U-CM,3,15.43,14.56
Experiment 1,CC-CM,1,3.97,14.25
Experiment 1,CC-CM,2,3.97,14.25
Experiment 1,CC-CM,3,4.06,14.25
Experiment 1,D-CM,1,15.02,14.25
Experiment 1,D-CM,2,15.75,14.25
Experiment 1,D-CM,3,14.48,14.25
Experiment 1,U-CM,1,15.26,14.25
Experiment 1,U-CM,2,20.39,14.25
Experiment 1,U-CM,3,19.02,14.25
Experiment 2,CC-CM,1,4.30,16.38
Experiment 2,CC-CM,2,4.94,16.38
Experiment 2,CC-CM,3,5.61,16.38
Experiment 2,D-CM,1,20.33,16.38
Experiment 2,D-CM,2,10.82,16.38
Experiment 2,D-CM,3,10.85,16.38
Experiment 2,U-CM,1,16.80,16.38
Experiment 2,U-CM,2,18.49,16.38
Experiment 2,U-CM,3,15.66,16.38
Experiment 1,CC-CM,1,2.85,15.83
Experiment 1,CC-CM,2,2.97,15.83
Experiment 1,CC-CM,3,3.46,15.83
Experiment 1,D-CM,1,10.68,15.83
Experiment 1,D-CM,2,12.69,15.83
Experiment 1,D-CM,3,12.00,15.83
Experiment 1,U-CM,1,11.88,15.83
Experiment 1,U-CM,2,17.50,15.83
Experiment 1,U-CM,3,16.26,15.83
Experiment 2,CC-CM,1,2.75,18.2
Experiment 2,CC-CM,2,3.48,18.2
Experiment 2,CC-CM,3,5.11,18.2
Experiment 2,D-CM,1,7.31,18.2
Experiment 2,D-CM,2,8.48,18.2
Experiment 2,D-CM,3,8.64,18.2
Experiment 2,U-CM,1,15.67,18.2
Experiment 2,U-CM,2,15.46,18.2
Experiment 2,U-CM,3,12.98,18.2
Experiment 1,CC-CM,1,3.32,17.42
Experiment 1,CC-CM,2,2.28,17.42
Experiment 1,CC-CM,3,2.50,17.42
Experiment 1,D-CM,1,7.66,17.42
Experiment 1,D-CM,2,10.12,17.42
Experiment 1,D-CM,3,10.72,17.42
Experiment 1,U-CM,1,11.25,17.42
Experiment 1,U-CM,2,16.15,17.42
Experiment 1,U-CM,3,15.61,17.42
Experiment 2,CC-CM,1,2.72,20.02
Experiment 2,CC-CM,2,4.80,20.02
Experiment 2,CC-CM,3,3.79,20.02
Experiment 2,D-CM,1,5.14,20.02
Experiment 2,D-CM,2,4.99,20.02
Experiment 2,D-CM,3,7.92,20.02
Experiment 2,U-CM,1,12.68,20.02
Experiment 2,U-CM,2,12.86,20.02
Experiment 2,U-CM,3,14.72,20.02
Experiment 2,CC-CM,1,2.83,21.84
Experiment 2,CC-CM,2,2.37,21.84
